"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5564","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","7","1","1","3.916059","0","26"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","10","1","1","6.602407","0","65"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","12","1","1","8.068478","0","82"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","17","1","1","10.381308","0","159"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","6","1","1","3.226768","0","24"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","6","1","1","3.479334","0","26"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","10","1","1","5.158838","0","68"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","8","1","1","5.059438","0","39"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","7","4","1","4.000595","0","25"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","19","1","1","11.453732","0","204"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","1","1","6.097139","0","51"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","18","2","1","12.773869","0","174"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","6","1","1","4.228014","0","22"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","14","1","1","7.994399","0","110"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","8","1","1","4.374855","0","43"
"/Engine/VREditor/TransformGizmo/Main.Main","0","6","1","1","4.048104","0","23"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","6","6","1","4.189386","0","11"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","40","3","1","16.673075","0","677"
"/Game/LevelPrototyping/Meshes/MI_Quinn_02.MI_Quinn_02","0","11","11","1","6.119008","0","15"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","11","2","1","6.057109","0","69"
"/Game/LevelPrototyping/Meshes/MI_Quinn_01.MI_Quinn_01","0","11","2","1","5.873371","0","74"
"/Game/LevelPrototyping/Materials/Gradient_Mat.Gradient_Mat","0","11","1","1","5.738588","0","59"
"/Game/LevelPrototyping/Materials/FresnelRefraction_M.FresnelRefraction_M","0","20","5","1","12.027823","0","60"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","11","4","1","6.051647","0","32"
"/Game/WhiteText.WhiteText","0","9","1","1","6.137701","0","25"
"/LumaAIPlugin/Materials/LumaMaterialDynamicNoTAA.LumaMaterialDynamicNoTAA","0","22","2","1","15.514379","0","235"
"/LumaAIPlugin/Materials/LumaMaterialDynamic.LumaMaterialDynamic","0","24","8","1","17.284624","0","279"
"/LumaAIPlugin/Materials/LumaMaterialBaked.LumaMaterialBaked","0","18","1","1","13.647989","0","198"
"/Engine/EngineDebugMaterials/M_SimpleOpaque.M_SimpleOpaque","0","8","1","1","4.158537","0","39"
"/Engine/EngineMeshes/BackgroundMaterial.BackgroundMaterial","0","9","1","1","5.615870","0","53"
"/LumaAIPlugin/Materials/LumaMaterialBakedNoTAA.LumaMaterialBakedNoTAA","0","16","1","1","9.820339","0","128"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","11","1","1","5.499388","0","62"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","11","1","1","5.649481","0","67"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","11","1","1","5.610009","0","76"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","16","3","1","9.051464","0","140"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","8","6","1","4.324726","0","23"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","1","1","5.705692","0","45"
"/ControlRig/M_Manip.M_Manip","0","9","1","1","5.241738","0","60"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","52","2","2","33.240639","0","659"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","2.713058","0","23"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","7","1","1","3.700740","0","23"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","67","11","6","36.925865","0","482"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","8","1","1","3.284801","0","43"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","36","2","1","20.381588","0","368"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","45","6","1","26.045683","0","615"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","336","4","1","155.341751","0","18446"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","19","1","1","10.777341","0","198"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","2.616748","0","26"
"/LumaAIPlugin/Materials/LumaLogoMaterial.LumaLogoMaterial","0","18","6","1","9.223297","0","165"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","2.457947","0","26"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","40","2","1","17.352804","0","719"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","7","1","1","4.209418","0","34"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","16","1","1","10.885392","0","151"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","58","1","1","246.070358","0","1154"
